date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-08-04,Gujarat,Surat,PM10,78,Satisfactory,PM10
2026-08-04,Odisha,Talcher,SO2,82,Satisfactory,SO2
2026-08-04,Maharashtra,Thane,PM10,48,Good,PM10
2026-08-04,Kerala,Thiruvananthapuram,PM10,38,Good,PM10
2026-08-04,Tamil Nadu,Thoothukudi,PM10,65,Satisfactory,PM10
2026-08-04,Kerala,Thrissur,PM10,43,Good,PM10
2026-08-04,Andhra Pradesh,Tirumala,NO2,50,Good,NO2
2026-08-04,Andhra Pradesh,Tirupati,PM10,67,Satisfactory,PM10
2026-08-04,Rajasthan,Tonk,PM10,105,Moderate,PM10
2026-08-04,Chhattisgarh,Tumidih,PM10,49,Good,PM10
2026-08-04,Rajasthan,Udaipur,PM10,71,Satisfactory,PM10
2026-08-04,Madhya Pradesh,Ujjain,PM10,71,Satisfactory,PM10
2026-08-04,Maharashtra,Ulhasnagar,PM10,16,Good,PM10
2026-08-04,Gujarat,Vadodara,CO,71,Satisfactory,CO
2026-08-04,Gujarat,Vapi,PM10,44,Good,PM10
2026-08-04,Uttar Pradesh,Varanasi,PM10 NO2,46,Good,PM10
2026-08-04,Gujarat,Vatva,PM2.5,126,Moderate,PM2.5
2026-08-04,Karnataka,Vijayapura,PM10,43,Good,PM10
2026-08-04,Andhra Pradesh,Vijayawada,PM10,57,Satisfactory,PM10
2026-08-04,Maharashtra,Virar,PM10,35,Good,PM10
2026-08-04,Andhra Pradesh,Visakhapatnam,PM10,87,Satisfactory,PM10
2026-08-04,Uttar Pradesh,Vrindavan,PM2.5,50,Good,PM2.5
2026-08-04,Karnataka,Yadgir,PM10,32,Good,PM10
