date,state,area,prominent_pollutants,aqi_value,air_quality_status,main_pollutant
2026-06-30,Rajasthan,Bhiwadi,PM2.5 PM10,150,Moderate,PM2.5
2026-06-30,Maharashtra,Bhiwandi,PM10,62,Satisfactory,PM10
2026-06-30,Haryana,Bhiwani,PM2.5,165,Moderate,PM2.5
2026-06-30,Madhya Pradesh,Bhopal,PM10,45,Good,PM10
2026-06-30,Odisha,Bhubaneswar,PM10 CO,50,Good,PM10
2026-06-30,Bihar,Bihar Sharif,CO,57,Satisfactory,CO
2026-06-30,Rajasthan,Bikaner,PM10,183,Moderate,PM10
2026-06-30,Odisha,Bileipada,PM10,62,Satisfactory,PM10
2026-06-30,Maharashtra,Boisar,PM10,39,Good,PM10
2026-06-30,Odisha,Brajrajnagar,O3,44,Good,O3
2026-06-30,Uttar Pradesh,Bulandshahr,PM10,124,Moderate,PM10
2026-06-30,Rajasthan,Bundi,PM10,58,Satisfactory,PM10
2026-06-30,Bihar,Buxar,PM2.5,136,Moderate,PM2.5
2026-06-30,Odisha,Byasanagar,CO,47,Good,CO
2026-06-30,Assam,Byrnihat (Assam),PM2.5,91,Satisfactory,PM2.5
2026-06-30,Meghalaya,Byrnihat (Meghalaya),PM2.5,132,Moderate,PM2.5
2026-06-30,Karnataka,Chamarajanagar,PM10,44,Good,PM10
2026-06-30,Chandigarh,Chandigarh,CO,58,Satisfactory,CO
2026-06-30,Maharashtra,Chandrapur,PM10,79,Satisfactory,PM10
2026-06-30,Haryana,Charkhi Dadri,PM2.5,67,Satisfactory,PM2.5
2026-06-30,Tamil Nadu,Chennai,PM10 CO,50,Good,PM10
2026-06-30,Karnataka,Chikkaballapur,O3,36,Good,O3
2026-06-30,Andhra Pradesh,Chittoor,PM2.5,53,Satisfactory,PM2.5
2026-06-30,Rajasthan,Churu,PM10,146,Moderate,PM10
2026-06-30,Tamil Nadu,Cuddalore,PM10,49,Good,PM10
2026-06-30,Madhya Pradesh,Damoh,SO2,52,Satisfactory,SO2
2026-06-30,Rajasthan,Dausa,PM10,123,Moderate,PM10
2026-06-30,Uttarakhand,Dehradun,PM2.5,83,Satisfactory,PM2.5
2026-06-30,Delhi,Delhi,PM10,177,Moderate,PM10
2026-06-30,Jharkhand,Dhanbad,PM10,184,Moderate,PM10
2026-06-30,Haryana,Dharuhera,PM2.5,108,Moderate,PM2.5
2026-06-30,Karnataka,Dharwad,PM10,63,Satisfactory,PM10
2026-06-30,Rajasthan,Dholpur,PM10,78,Satisfactory,PM10
